policy,recommender,rider_policy,assignment_mode,choice_model,n_seeds,completed_orders,completed_orders_std,completed_orders_ci95,total_orders,total_orders_std,total_orders_ci95,unassigned_orders,unassigned_orders_std,unassigned_orders_ci95,completion_rate,completion_rate_std,completion_rate_ci95,avg_eta,avg_eta_std,avg_eta_ci95,p95_eta,p95_eta_std,p95_eta_ci95,timeout_rate,timeout_rate_std,timeout_rate_ci95,on_time_rate,on_time_rate_std,on_time_rate_ci95,avg_rider_load,avg_rider_load_std,avg_rider_load_ci95,rider_load_std,rider_load_std_std,rider_load_std_ci95,rider_load_cv,rider_load_cv_std,rider_load_cv_ci95,active_rider_rate,active_rider_rate_std,active_rider_rate_ci95,rider_income_gini,rider_income_gini_std,rider_income_gini_ci95,merchant_exposure_gini,merchant_exposure_gini_std,merchant_exposure_gini_ci95,user_satisfaction,user_satisfaction_std,user_satisfaction_ci95,rider_speed_kmph,rider_speed_kmph_std,rider_speed_kmph_ci95,rider_service_minutes,rider_service_minutes_std,rider_service_minutes_ci95,avg_detour_minutes,avg_detour_minutes_std,avg_detour_minutes_ci95,enroute_pickup_share,enroute_pickup_share_std,enroute_pickup_share_ci95,platform_utility,platform_utility_std,platform_utility_ci95
Popular + Nearest,popular,nearest,greedy,mnl_softmax,10,79.8,2.6583202716502514,1.647643974488016,81.4,4.550946177566936,2.8207056642699255,1.6,3.657564459825388,2.266981938858603,0.9820224719101123,0.0410962298856785,0.025471707178186545,76.8556045544494,4.13811836331677,2.564832334068035,142.20070963877794,10.096254747087887,6.257723524264654,0.7488807988112567,0.047419547401122655,0.029390939978765677,0.25111920118874315,0.047419547401122655,0.029390939978765677,2.843333333333333,0.11336600836164189,0.07026497995023843,0.6525161561713478,0.11331372020831051,0.07023257141704087,0.2465027689243235,0.048783552268686366,0.030236358954492972,0.9933333333333334,0.014054567378526128,0.008711111111111109,0.15909607369275508,0.021538022776775884,0.013349404821154435,0.9997313768515191,1.1702778228589004e-16,7.253457094217689e-17,0.45897565042182203,0.008674998348241765,0.005376819681813935,25.118321165255644,0.6585428740212268,0.4081691020809593,9.986527368497654,0.31938355647663025,0.19795597919155006,0.0,0.0,0.0,0.0,0.0,0.0,0.4118741839239407,0.020143852916088535,0.01248528938898783
UserOnly + MinETA,useronly,min_eta,greedy,mnl_softmax,10,83.2,3.04776785350999,1.889026086520659,89.9,7.680422442085389,4.760375148615449,6.7,6.9290050592499295,4.294641829587707,0.930273406363689,0.06731271309895571,0.041720851820117616,78.34931154163557,3.0926857139852366,1.9168664648784517,135.29633272466276,11.58405608784851,7.1798723490252065,0.8118983681650718,0.025502340972090136,0.015806514695055326,0.18810163183492815,0.025502340972090136,0.015806514695055326,2.986666666666667,0.04216370213557838,0.026133333333333324,0.42083769725828146,0.09941849015565486,0.061620218603671874,0.1530373861208761,0.04072940122067033,0.025244344416063456,1.0,0.0,0.0,0.11358134543288254,0.028081753047786057,0.017405250862990312,0.989977346545594,0.0005587526666677678,0.0003463184907711462,0.6401189744712033,0.04255461726496003,0.026375625040743745,25.118321165255644,0.6585428740212268,0.4081691020809593,9.986527368497654,0.31938355647663025,0.19795597919155006,0.0,0.0,0.0,0.0,0.0,0.0,0.43871457384709034,0.019954898924023367,0.012368174491357995
Seq-Tuned + MinETA,seq_tuned,min_eta,greedy,mnl_softmax,10,81.1,3.1780497164141406,1.9697756217396944,86.1,5.445691467165171,3.3752745402740527,5.0,7.393691004272944,4.582657162244047,0.9459851697825927,0.07823463004649425,0.04849032607812306,76.6427569317537,3.9632234494244543,2.4564313433686014,132.14585874242934,10.52285630467472,6.52213390903323,0.8192719839463528,0.02303101542983662,0.014274771254614054,0.18072801605364713,0.02303101542983662,0.014274771254614054,2.9466666666666668,0.08043093809268384,0.04985161190850848,0.4934831265585869,0.09639786011254863,0.059748012706302,0.18398844954893162,0.0432137836879401,0.02678418062247345,1.0,0.0,0.0,0.1248172641962925,0.03637479809749007,0.022545333437698312,0.9894588140422664,0.0003890815278663075,0.0002411552294169378,0.6623384040771176,0.04405976345361429,0.02730852431360686,25.118321165255644,0.6585428740212268,0.4081691020809593,9.986527368497654,0.31938355647663025,0.19795597919155006,0.0,0.0,0.0,0.0,0.0,0.0,0.44218237273065897,0.02179448127121356,0.013508359442827687
Logistic-LTR + MinETA,learned_ltr,min_eta,greedy,mnl_softmax,10,81.8,4.3410188256265885,2.690591343511269,93.2,6.511528238439883,4.035887015266904,11.4,7.275529763071095,4.509420066187373,0.8810761550380011,0.07166312718846556,0.0444172664085144,76.30302925635132,3.834096940810001,2.3763979041573045,131.55309089543346,11.685688414786009,7.242864717882182,0.8125966550086492,0.042280116900527624,0.026205487952193823,0.18740334499135075,0.042280116900527624,0.026205487952193823,2.993333333333333,0.021081851067789262,0.013066666666666707,0.47880992544415246,0.13818465801885685,0.0856477383780835,0.17843585933806053,0.060609948252187074,0.037566435127003125,1.0,0.0,0.0,0.12599442853985618,0.041991300954010435,0.02602647797394177,0.9842891991758996,0.0014164879301828267,0.0008779483149529987,0.638287331028597,0.03219370678230416,0.019953866192115567,25.118321165255644,0.6585428740212268,0.4081691020809593,9.986527368497654,0.31938355647663025,0.19795597919155006,0.0,0.0,0.0,0.0,0.0,0.0,0.4265211014519637,0.02028249529103239,0.012571220823255206
Seq-xQuAD-Tripartite + Greedy,seq_xquad_tripartite,load_aware,greedy,mnl_softmax,10,83.1,3.8715486421958962,2.3996107091683756,86.7,6.498717822257967,4.027947037056635,3.6,3.8355066303046734,2.377271638758273,0.9608083685587798,0.04082652535584794,0.025304542578718777,72.35524118412744,8.985164098266392,5.569062405375375,146.0625471517252,25.745615843820705,15.957298022717492,0.746385814862387,0.06967399517119942,0.04318438961121443,0.2536141851376129,0.06967399517119943,0.043184389611214444,2.8966666666666665,0.1766981104093142,0.10951862347970266,0.41263393084228284,0.07584841287499859,0.0470113333523918,0.15025167865875544,0.03358266303791828,0.020814750198379178,1.0,0.0,0.0,0.14067421030637126,0.031580359180212736,0.0195737094097933,0.9892305439304485,0.0004726803078741408,0.0002929702900864138,0.6340997694394354,0.02870587985383518,0.017792088665143063,25.118321165255644,0.6585428740212268,0.4081691020809593,9.986527368497654,0.31938355647663025,0.19795597919155006,0.0,0.0,0.0,0.0,0.0,0.0,0.4633611221574559,0.025303133060860517,0.01568304435248292
Seq-xQuAD-Tripartite + Batch,seq_xquad_tripartite,load_aware,batch,mnl_softmax,10,83.9,4.254409477236529,2.636910313226447,86.7,6.498717822257967,4.027947037056635,2.8,3.259175083088085,2.020057644942067,0.9696458926949661,0.03493531719956202,0.02165313393368994,60.95963290660111,7.81532960389417,4.843991473796436,114.55085342766623,30.851238100783252,19.12179548278991,0.6793361663561809,0.07472357779992883,0.04631415334985548,0.3206638336438191,0.07472357779992883,0.04631415334985548,2.8866666666666663,0.175822581732022,0.10897596518340322,0.38481393042215695,0.10077731874050921,0.06246242928613696,0.1393461232792173,0.04213493885545542,0.02611550566761279,1.0,0.0,0.0,0.11589968117392746,0.025852935610813668,0.016023815503442132,0.9892305439304485,0.0004726803078741408,0.0002929702900864138,0.6318190250238966,0.02918099982810666,0.018086571076128603,25.118321165255644,0.6585428740212268,0.4081691020809593,9.986527368497654,0.31938355647663025,0.19795597919155006,0.0,0.0,0.0,0.0,0.0,0.0,0.4857638909706242,0.027495811104237912,0.017042080283815677
Session-SPU-Tripartite + Batch,session_spu_tripartite,load_aware,batch,mnl_softmax,10,86.3,2.3118054512532935,1.4328718636981388,89.8,4.9396356140913875,3.0616178729554084,3.5,4.27525177946022,2.649828505981304,0.9629463712884533,0.043874187201075665,0.02719350296062537,65.23076737632377,5.024661594853923,3.114317521817265,123.32388140053027,17.251153315383554,10.692375601309909,0.7339312879405007,0.044946066384918854,0.02785786056172887,0.2660687120594994,0.044946066384918854,0.02785786056172887,2.9833333333333334,0.036004114991154836,0.022315581668089824,0.3399005546176259,0.12432956837496564,0.07706026484782405,0.11923781560855329,0.04642860689362911,0.028776748689002738,1.0,0.0,0.0,0.11129428541395,0.02107945598091064,0.013065182176439543,0.9882292748497996,0.0005357604191708397,0.00033206774813029303,0.6507221809083444,0.030985775110321037,0.019205182385216443,25.118321165255644,0.6585428740212268,0.4081691020809593,9.986527368497654,0.31938355647663025,0.19795597919155006,0.0,0.0,0.0,0.0,0.0,0.0,0.4749322603143014,0.017666573222303507,0.010949855527193377
Session-SPU-Tripartite + Greedy,session_spu_tripartite,load_aware,greedy,mnl_softmax,10,85.2,2.485513584307633,1.5405372800134083,89.8,4.9396356140913875,3.0616178729554084,4.6,4.9035134795822115,3.0392291420321995,0.9509493456009388,0.050802933713569386,0.03148798454127335,77.46938091149687,5.041554789261429,3.124788032188878,167.1081137456427,16.98563576617335,10.527806119316889,0.7937901625405495,0.028067869047117205,0.01739664547022113,0.20620983745945046,0.028067869047117205,0.01739664547022113,2.9833333333333334,0.028327886186626655,0.01755780576296133,0.37307522099479656,0.1002059085744389,0.062108265595957335,0.1323283753179533,0.03903134016664713,0.02419187527086251,1.0,0.0,0.0,0.14336588585359142,0.025310099528614228,0.0156873622139311,0.9882292748497996,0.0005357604191708397,0.00033206774813029303,0.6521022289710351,0.033493749904148266,0.02075964126712235,25.118321165255644,0.6585428740212268,0.4081691020809593,9.986527368497654,0.31938355647663025,0.19795597919155006,0.0,0.0,0.0,0.0,0.0,0.0,0.45361114884151643,0.014907609447343163,0.009239832063082279
KG-Tripartite + Batch,kg_tripartite,load_aware,batch,mnl_softmax,10,84.8,2.8596814119369625,1.772448902256737,89.7,6.750308634919344,4.183884638307641,4.9,5.626327003965869,3.487233605914898,0.948862641749032,0.0568307223340941,0.03522404663507424,61.46908509989968,4.603135364162887,2.8530528572493736,115.82648158299676,14.15777774265711,8.775081557553802,0.6854135694998587,0.06223882527048509,0.03857602356260372,0.3145864305001414,0.06223882527048509,0.03857602356260372,2.9366666666666665,0.10357796610152371,0.06419828850455112,0.38401744946541105,0.12608804808923646,0.07815018186661843,0.13728937500541968,0.04900659556805473,0.03037460262369017,1.0,0.0,0.0,0.1094294780475537,0.03185010299538683,0.019740898358569254,0.9877617800922265,0.0005500590817099015,0.00034093015098933505,0.6348038259292234,0.031157028063131562,0.01931132606505092,25.118321165255644,0.6585428740212268,0.4081691020809593,9.986527368497654,0.31938355647663025,0.19795597919155006,0.0,0.0,0.0,0.0,0.0,0.0,0.4809562094677788,0.022545810826488818,0.013974038325769642
KG-Tripartite + RouteMinETA,kg_tripartite,route_min_eta,route_batch,mnl_softmax,10,89.5,6.433419688539594,3.987474834473009,89.7,6.750308634919344,4.183884638307641,0.2,0.6324555320336759,0.39199999999999996,0.998,0.006324555320336764,0.003920000000000003,44.875372193157986,2.4987078038582964,1.5487151420161784,74.06443556307468,6.177028227485047,3.8285617605210667,0.4573443175008106,0.06852567915927837,0.042472655973237364,0.5426556824991894,0.06852567915927837,0.042472655973237364,2.7233333333333336,0.19879265207375882,0.12321296228106064,0.8521077959116979,0.27671145048489354,0.17150753388350884,0.2919304705939719,0.10823514359309759,0.06708483701939556,0.9700000000000001,0.036683497820487056,0.022736667508294083,0.14957933300382992,0.05611697755813882,0.03478166303970144,0.9877617800922265,0.0005500590817099015,0.00034093015098933505,0.6351265701877893,0.027191673164182636,0.016853573635580175,25.118321165255644,0.6585428740212268,0.4081691020809593,9.986527368497654,0.31938355647663025,0.19795597919155006,29.375246767855323,1.842552848048277,1.1420260869762868,0.6690768610437945,0.025670044903809836,0.01591045866882805,0.543821033223473,0.025590007089372296,0.0158608507174854
